0.76, 201;2021-10-18;1
0.76, 202;2021-10-19;2
0.78, 203;2021-10-20;3
0.74, 204;2021-10-21;4
0.83, 205;2021-10-22;5
0.71, 206;2021-10-25;1
0.83, 207;2021-10-26;2
0.85, 208;2021-10-27;3
0.66, 209;2021-10-28;4
0.87, 210;2021-10-29;5
0.76, 211;2021-11-01;1
0.71, 212;2021-11-02;2
0.69, 213;2021-11-03;3
0.69, 214;2021-11-04;4
0.78, 215;2021-11-05;5
0.66, 216;2021-11-08;1
0.73, 217;2021-11-09;2
0.87, 218;2021-11-10;3
0.75, 219;2021-11-12;5
0.78, 220;2021-11-15;1
0.79, 221;2021-11-16;2
0.80, 222;2021-11-17;3
0.70, 223;2021-11-18;4
0.76, 224;2021-11-19;5
0.77, 225;2021-11-22;1
0.84, 226;2021-11-23;2
0.90, 227;2021-11-24;3
